,Unnamed: 0,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,target_value,target_id,is_home,current_age
26661,13555,922943,2022-11-06 04:00:00,7,0,131,3.0,1,1,1,0,0,0,1,0,2,0.0,0.0,8799,7,25,0.0,1,False,24.10684931506849
26876,14286,379143,2022-11-06 00:00:00,3,0,131,3.0,1,1,1,0,0,0,1,9,0,0.0,0.0,10916,1,15,13.0,1,False,29.90684931506849
26877,14287,379143,2022-10-30 11:00:00,3,0,3404,3.0,3,1,1,0,0,0,1,9,0,0.0,0.0,10909,1,6,1.0,1,False,29.887671232876716
26878,14288,379143,2021-10-30 10:00:00,3,0,848,3.0,1,1,1,0,0,0,1,9,0,0.0,0.0,10544,1,8,12.0,1,False,28.887671232876716
26879,14289,379143,2022-06-17 13:30:00,3,6,2401,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,10774,1,6,14.0,1,False,29.51780821917808
26880,14290,379143,2012-12-21 16:00:00,3,3,302,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,7309,4,5,28.0,1,True,20.024657534246572
26881,14291,379143,2020-02-14 16:00:00,3,3,302,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,9920,2,1,65.0,1,True,27.17808219178082
26882,14292,379143,2019-03-19 16:00:00,3,3,174,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,9588,1,8,13.0,1,True,26.26849315068493
26883,14293,379143,2019-09-22 13:30:00,3,6,683,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,9775,2,6,79.0,1,False,26.78082191780822
26884,14294,379143,2018-10-12 16:00:00,3,3,1367,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,9430,2,9,26.0,1,True,25.83561643835617
26885,14295,379143,2022-06-09 13:30:00,3,6,333,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,10766,1,6,22.0,1,False,29.495890410958904
26886,14296,379143,2021-09-12 13:30:00,3,8,1004,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,10496,1,8,58.0,1,False,28.756164383561643
26887,14297,379143,2013-11-13 16:00:00,3,0,2439,3.0,3,1,1,0,0,0,1,9,0,0.0,0.0,7636,2,7,48.0,1,False,20.92054794520548
26888,14299,379143,2022-11-03 08:00:00,3,0,132,3.0,3,1,1,0,9,0,1,9,0,0.0,0.0,10913,2,7,0.0,1,False,29.898630136986306
26889,14300,379143,2020-02-26 16:00:00,3,3,174,3.0,3,0,1,0,0,0,1,9,0,0.0,0.0,9932,1,2,5.0,1,True,27.21095890410959
